year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2022,2022-01-11 10:45:00,2022-01-12 13:30:00,TP,447.3469,476.4244,418.2694,476.4244,254.6111,0.8596,55.65,6.3,16.0074,516.01
2022,2022-01-22 00:00:00,2022-01-22 06:30:00,SL,383.7834,358.8375,358.8375,408.7293,333.7277,0.899,55.59,-6.7,-22.3164,493.69
2022,2022-01-22 06:30:00,2022-01-22 10:00:00,SL,364.2639,340.5867,340.5867,387.9411,356.3064,0.9204,51.03,-6.7,-23.8263,469.86
2022,2022-01-22 10:00:00,2022-01-22 12:15:00,TP,343.7434,366.0867,321.4001,366.0867,255.1143,0.8693,61.97,6.3,16.039,485.9
2022,2022-01-22 12:15:00,2022-01-23 09:15:00,TP,363.5632,387.1948,339.9316,387.1948,302.6173,0.8921,42.75,6.3,19.0255,504.93
2022,2022-01-23 11:30:00,2022-01-24 09:15:00,SL,382.9826,358.0887,358.0887,407.8765,295.8984,0.8816,53.86,-6.7,-19.7867,485.14
2022,2022-01-24 09:30:00,2022-01-25 17:15:00,TP,353.8535,376.854,330.853,376.854,261.3924,0.8681,33.84,6.3,16.4338,501.58
2022,2022-01-26 18:00:00,2022-01-27 03:30:00,SL,385.2849,360.2414,360.2414,410.3284,290.1243,0.8794,28.17,-6.7,-19.4006,482.18
2022,2022-01-28 00:00:00,2022-01-31 02:00:00,SL,392.7924,367.2609,367.2609,418.3239,270.3165,0.8743,41.71,-6.7,-18.0761,464.1
2022,2022-01-31 23:00:00,2022-02-05 00:30:00,TP,376.9766,401.4801,352.4731,401.4801,243.4503,0.864,40.67,6.3,15.3057,479.41
2022,2022-05-13 04:45:00,2022-05-14 10:45:00,SL,301.8015,282.1844,282.1844,321.4186,241.2869,0.8579,49.84,-6.7,-16.1349,463.27
2022,2022-05-14 10:45:00,2022-05-15 11:30:00,TP,281.6814,299.9907,263.3721,299.9907,257.135,0.8727,29.86,6.3,16.1661,479.44
2022,2022-05-15 14:45:00,2022-05-22 03:00:00,TP,299.3991,318.86,279.9382,318.86,259.9725,0.8691,27.79,6.3,16.3444,495.78
2022,2022-06-18 18:00:00,2022-06-19 10:15:00,TP,194.9948,207.6695,182.3201,207.6695,270.7376,0.8702,40.1,6.3,17.0213,512.8
2022,2022-06-19 12:30:00,2022-06-20 15:00:00,TP,205.7055,219.0764,192.3346,219.0764,261.5785,0.8599,45.27,6.3,16.4455,529.25
2022,2022-06-21 18:00:00,2022-06-24 11:30:00,TP,223.5233,238.0523,208.9943,238.0523,272.6456,0.8613,24.79,6.3,17.1412,546.39
2022,2022-06-30 07:15:00,2022-07-01 00:30:00,TP,211.5113,225.2595,197.7631,225.2595,280.1923,0.8607,29.36,6.3,17.6156,564.0
2022,2022-07-01 03:45:00,2022-07-05 05:15:00,TP,221.3211,235.707,206.9352,235.707,390.8252,0.9122,41.78,6.3,24.5712,588.58
2022,2022-11-07 08:00:00,2022-11-08 16:00:00,TP,330.0297,351.4816,308.5778,351.4816,316.021,0.8676,31.24,6.3,19.8682,608.44
2022,2022-11-08 18:15:00,2022-11-08 19:15:00,SL,336.9366,315.0357,315.0357,358.8375,351.6426,0.8793,34.05,-6.7,-23.5144,584.93
2022,2022-11-08 19:15:00,2022-11-08 19:30:00,TP,302.7024,322.3781,283.0267,322.3781,340.7693,0.8806,30.35,6.3,21.4242,606.35
2022,2022-11-08 19:30:00,2022-11-08 23:30:00,TP,313.9136,334.318,293.5092,334.318,344.8034,0.8766,30.78,6.3,21.6778,628.03
2022,2022-11-09 09:30:00,2022-11-09 18:30:00,SL,297.1969,277.8791,277.8791,316.5147,350.2834,0.8735,24.03,-6.7,-23.4235,604.61
2022,2022-11-09 18:30:00,2022-11-10 13:30:00,TP,276.276,294.2339,258.3181,294.2339,518.7117,0.9594,37.79,6.3,32.6113,637.22
2022,2022-11-10 14:00:00,2022-11-11 14:15:00,SL,298.7985,279.3766,279.3766,318.2204,374.0014,0.8819,28.3,-6.7,-25.0095,612.21
2022,2022-11-12 04:30:00,2022-11-17 09:45:00,SL,282.1819,263.8401,263.8401,300.5237,344.5631,0.875,24.93,-6.7,-23.0409,589.17
2023,2023-01-09 20:15:00,2023-01-13 04:30:00,TP,273.8736,291.6754,256.0718,291.6754,306.1728,0.8626,28.35,6.3,19.2491,608.42
2023,2023-01-20 05:45:00,2023-01-21 10:00:00,TP,288.8886,307.6664,270.1108,307.6664,370.0439,0.8879,25.97,6.3,23.2647,631.68
2023,2023-01-21 23:30:00,2023-01-24 02:15:00,TP,298.7985,318.2204,279.3766,318.2204,374.4244,0.8835,28.62,6.3,23.5401,655.22
2023,2023-01-30 09:45:00,2023-02-02 03:30:00,TP,306.8065,326.7489,286.8641,326.7489,335.9902,0.8607,41.91,6.3,21.1237,676.35
2023,2023-02-08 16:15:00,2023-02-09 21:30:00,SL,325.9256,304.7404,304.7404,347.1108,351.9497,0.8628,31.9,-6.7,-23.5349,652.81
2023,2023-02-09 21:30:00,2023-02-13 15:45:00,SL,306.2059,286.3025,286.3025,326.1093,505.8151,0.9356,55.54,-6.7,-33.8239,618.99
2023,2023-06-13 15:45:00,2023-06-14 00:45:00,TP,235.1349,250.4187,219.8511,250.4187,330.4741,0.8667,29.62,6.3,20.777,639.77
2023,2023-06-14 07:15:00,2023-06-28 19:30:00,SL,246.0458,230.0528,230.0528,262.0388,333.2885,0.863,37.46,-6.7,-22.287,617.48
2023,2023-06-30 05:45:00,2023-07-03 10:00:00,TP,237.3371,252.764,221.9102,252.764,366.2238,0.8836,32.66,6.3,23.0245,640.5
2023,2023-11-10 06:45:00,2023-11-14 18:45:00,SL,253.1529,236.698,236.698,269.6078,344.5455,0.8678,28.99,-6.7,-23.0397,617.46
2023,2023-11-14 19:00:00,2023-11-16 00:45:00,TP,239.0388,254.5763,223.5013,254.5763,319.696,0.8621,29.69,6.3,20.0993,637.56
2023,2023-11-17 15:45:00,2023-11-20 17:30:00,TP,239.1389,254.6829,223.5949,254.6829,319.0701,0.8571,33.13,6.3,20.0599,657.62
2023,2023-11-27 04:00:00,2023-12-09 03:15:00,TP,229.229,244.1289,214.3291,244.1289,342.9649,0.8632,33.72,6.3,21.5622,679.18
2024,2024-01-02 15:30:00,2024-01-03 09:30:00,TP,310.1098,330.2669,289.9527,330.2669,419.6744,0.8907,34.86,6.3,26.3849,705.56
2024,2024-01-03 12:00:00,2024-01-03 16:15:00,TP,301.2009,320.779,281.6228,320.779,479.4676,0.9084,36.74,6.3,30.1442,735.71
2024,2024-01-08 02:15:00,2024-01-11 08:45:00,TP,293.9937,313.1033,274.8841,313.1033,461.4413,0.8934,48.16,6.3,29.0108,764.72
2024,2024-01-11 09:45:00,2024-01-12 22:00:00,SL,314.8145,294.3516,294.3516,335.2774,393.6773,0.8612,28.4,-6.7,-26.3251,738.39
2024,2024-02-22 02:45:00,2024-02-26 20:15:00,TP,375.8755,400.3074,351.4436,400.3074,427.1486,0.8794,35.24,6.3,26.8548,765.25
2024,2024-03-06 12:45:00,2024-03-07 14:00:00,TP,420.3199,447.6407,392.9991,447.6407,503.2198,0.9021,40.55,6.3,31.6374,796.89
