year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2025,2025-05-18 18:30:00,2025-05-22 02:45:00,TP,646.3257,685.1052,604.3145,685.1052,293.5894,0.8819,34.99,5.8,16.9929,516.99
2025,2025-07-27 20:45:00,2025-07-30 19:00:00,SL,831.3205,777.2847,777.2847,881.1997,267.6293,0.8621,55.8,-6.7,-17.8964,499.1
2025,2025-08-05 14:30:00,2025-08-08 14:00:00,TP,749.1384,794.0867,700.4444,794.0867,406.2271,0.9468,28.57,5.8,23.5124,522.61
2025,2025-08-18 02:30:00,2025-08-22 17:15:00,TP,843.1223,893.7096,788.3193,893.7096,288.3905,0.8718,31.39,5.8,16.692,539.3
2025,2025-10-05 09:30:00,2025-10-06 12:00:00,TP,1161.4102,1231.0949,1085.9186,1231.0949,346.5745,0.8978,32.1,5.8,20.0598,559.36
2025,2025-10-10 21:30:00,2025-10-11 17:00:00,TP,1093.8928,1159.5264,1022.7898,1159.5264,307.2148,0.8711,41.18,5.8,17.7816,577.14
2025,2025-10-12 12:15:00,2025-10-13 06:30:00,TP,1257.5563,1333.0097,1175.8151,1333.0097,352.0535,0.8885,60.81,5.8,20.3769,597.52
2025,2025-10-17 07:30:00,2025-10-19 17:15:00,TP,1067.8067,1131.8751,998.3993,1131.8751,357.1145,0.8849,37.08,5.8,20.6698,618.19
2025,2025-10-20 00:30:00,2025-10-27 02:00:00,TP,1097.5865,1163.4417,1026.2434,1163.4417,316.5053,0.8604,28.02,5.8,18.3193,636.51
2025,2025-11-25 09:15:00,2025-11-27 02:00:00,TP,848.3575,899.259,793.2143,899.259,321.2098,0.8583,28.06,5.8,18.5916,655.1
2026,2026-02-11 07:00:00,2026-02-14 14:45:00,TP,600.7101,636.7527,561.664,636.7527,353.3237,0.8683,44.3,5.8,20.4504,675.55
2026,2026-03-01 06:30:00,2026-03-04 16:00:00,TP,624.5039,661.9741,583.9111,661.9741,390.9373,0.8795,35.76,5.8,22.6274,698.18
