year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2025,2025-05-18 18:15:00,2025-05-22 02:45:00,TP,645.9653,684.7232,603.9776,684.7232,258.0174,0.8519,34.71,5.8,14.934,514.93
2025,2025-07-27 18:00:00,2025-07-30 19:00:00,SL,824.4336,770.8454,770.8454,873.8996,260.8606,0.849,44.05,-6.7,-17.4438,497.49
2025,2025-08-05 14:30:00,2025-08-08 14:00:00,TP,749.1384,794.0867,700.4444,794.0867,410.9701,0.9468,28.57,5.8,23.7869,521.28
2025,2025-08-18 02:15:00,2025-08-22 17:15:00,TP,839.6989,890.0808,785.1184,890.0808,274.8383,0.8553,29.16,5.8,15.9076,537.18
2025,2025-09-23 03:00:00,2025-09-24 09:30:00,TP,969.4184,1027.5836,906.4063,1027.5836,282.0964,0.8547,31.0,5.8,16.3278,553.51
2025,2025-10-05 09:30:00,2025-10-06 12:00:00,TP,1161.4102,1231.0949,1085.9186,1231.0949,368.6359,0.8978,32.1,5.8,21.3367,574.85
2025,2025-10-10 21:30:00,2025-10-11 17:00:00,TP,1093.8928,1159.5264,1022.7898,1159.5264,332.658,0.8711,41.18,5.8,19.2543,594.1
2025,2025-10-12 11:15:00,2025-10-12 15:45:00,TP,1226.4152,1300.0001,1146.6982,1300.0001,300.1484,0.8486,55.34,5.8,17.3726,611.48
2025,2025-10-12 19:00:00,2025-10-14 06:15:00,SL,1299.4682,1215.0027,1215.0027,1377.4363,330.0639,0.8592,47.82,-6.7,-22.0714,589.4
2025,2025-10-17 07:30:00,2025-10-19 17:15:00,TP,1067.8067,1131.8751,998.3993,1131.8751,367.7641,0.8849,37.08,5.8,21.2862,610.69
2025,2025-10-20 00:30:00,2025-10-27 02:00:00,TP,1097.5865,1163.4417,1026.2434,1163.4417,332.1451,0.8604,28.02,5.8,19.2246,629.92
2025,2025-11-24 01:00:00,2025-11-26 17:45:00,TP,839.7389,890.1232,785.1559,890.1232,317.8724,0.8484,29.07,5.8,18.3984,648.31
2025,2025-12-02 20:45:00,2025-12-18 17:15:00,SL,876.6758,819.6919,819.6919,929.2763,330.2623,0.8499,43.52,-6.7,-22.0846,626.23
2026,2026-02-09 08:45:00,2026-02-23 01:45:00,SL,626.5659,585.8392,585.8392,664.1599,319.5075,0.8501,27.73,-6.7,-21.3654,604.86
2026,2026-02-27 11:30:00,2026-03-02 16:00:00,TP,614.2737,651.1301,574.3459,651.1301,309.7234,0.8507,31.23,5.8,17.9268,622.79
