year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2022,2022-01-11 10:45:00,2022-01-12 13:30:00,TP,447.3469,479.1085,412.4538,479.1085,50.9222,0.8596,55.65,6.9,3.5064,503.51
2022,2022-01-11 11:00:00,2022-01-12 14:15:00,TP,449.0486,480.9311,414.0228,480.9311,50.9925,0.8764,53.74,6.9,3.5112,510.7
2022,2022-01-11 11:45:00,2022-01-12 14:15:00,TP,448.8484,480.7166,413.8382,480.7166,53.4268,0.9059,49.69,6.9,3.6789,510.7
2022,2022-01-22 00:00:00,2022-01-22 06:30:00,SL,383.7834,353.8483,353.8483,411.032,66.0586,0.899,55.59,-8.0,-5.2744,501.36
2022,2022-01-22 00:15:00,2022-01-22 06:30:00,SL,385.2849,355.2327,355.2327,412.6401,50.9064,0.8777,55.33,-8.0,-4.0646,501.36
2022,2022-01-22 05:45:00,2022-01-22 10:00:00,SL,366.5662,337.974,337.974,392.5924,56.1926,0.9181,45.64,-8.0,-4.4866,496.87
2022,2022-01-22 06:45:00,2022-01-23 08:45:00,TP,359.6593,385.1951,331.6059,385.1951,53.4665,0.9147,52.89,6.9,3.6816,500.55
2022,2022-01-23 11:30:00,2022-01-24 09:45:00,SL,382.9826,353.11,353.11,410.1744,51.1355,0.8816,53.86,-8.0,-4.0829,492.25
2022,2022-01-23 11:45:00,2022-01-24 09:45:00,SL,382.8825,353.0177,353.0177,410.0672,52.8945,0.9104,50.89,-8.0,-4.2233,492.25
2022,2022-01-24 09:45:00,2022-01-25 17:15:00,TP,353.5532,378.6555,325.9761,378.6555,50.9164,0.8841,36.37,6.9,3.506,495.75
2022,2022-01-22 06:30:00,2022-01-26 13:15:00,TP,364.2639,390.1266,335.8513,390.1266,64.2568,0.9204,51.03,6.9,4.4246,500.18
2022,2022-01-26 18:15:00,2022-02-05 04:00:00,TP,383.1828,410.3888,353.2945,410.3888,64.6444,0.923,28.77,6.9,4.4513,512.27
2022,2022-01-26 18:30:00,2022-02-05 04:00:00,TP,383.383,410.6032,353.4791,410.6032,57.7539,0.9327,29.32,6.9,3.9768,512.27
2022,2022-01-28 02:00:00,2022-02-05 04:00:00,TP,384.2839,411.5681,354.3098,411.5681,53.2929,0.9522,39.81,6.9,3.6696,512.27
2022,2022-01-26 18:00:00,2022-02-05 04:15:00,TP,385.2849,412.6401,355.2327,412.6401,57.863,0.8794,28.17,6.9,3.9843,516.26
2022,2022-05-13 06:00:00,2022-05-14 10:15:00,SL,306.4061,282.5064,282.5064,328.1609,56.9438,0.8894,53.42,-8.0,-4.5466,511.71
2022,2022-05-13 04:45:00,2022-05-14 11:00:00,SL,301.8015,278.261,278.261,323.2294,51.9671,0.8579,49.84,-8.0,-4.1493,503.34
2022,2022-05-13 06:30:00,2022-05-14 11:00:00,SL,303.1028,279.4608,279.4608,324.6231,52.907,0.8997,52.37,-8.0,-4.2243,503.34
2022,2022-05-14 11:15:00,2022-05-14 23:30:00,TP,277.0768,296.7493,255.4648,296.7493,55.8615,0.8969,33.62,6.9,3.8465,507.19
2022,2022-05-14 11:00:00,2022-05-14 23:45:00,TP,277.9777,297.7141,256.2954,297.7141,66.6467,0.9033,31.72,6.9,4.5892,511.77
2022,2022-05-15 14:45:00,2022-05-22 09:30:00,TP,299.3991,320.6564,276.046,320.6564,55.5015,0.8691,27.79,6.9,3.8217,515.6
2022,2022-05-16 01:30:00,2022-05-23 06:00:00,TP,303.1028,324.6231,279.4608,324.6231,51.8582,0.9303,29.49,6.9,3.5709,519.17
2022,2022-05-16 01:00:00,2022-05-23 07:15:00,TP,307.2069,329.0186,283.2448,329.0186,53.3855,0.8813,31.2,6.9,3.676,526.98
2022,2022-05-16 01:15:00,2022-05-23 07:15:00,TP,306.306,328.0537,282.4141,328.0537,60.0172,0.927,29.61,6.9,4.1327,526.98
2022,2022-06-18 18:00:00,2022-06-19 10:15:00,TP,194.9948,208.8394,179.7852,208.8394,57.5545,0.8702,40.1,6.9,3.9631,538.43
2022,2022-06-18 18:15:00,2022-06-19 10:15:00,TP,192.5924,206.2665,177.5702,206.2665,57.8261,0.8902,41.66,6.9,3.9818,538.43
2022,2022-06-18 18:30:00,2022-06-19 10:15:00,TP,193.8937,207.6602,178.77,207.6602,50.9429,0.891,43.28,6.9,3.5078,538.43
2022,2022-06-19 12:30:00,2022-06-21 05:15:00,TP,205.7055,220.3106,189.6605,220.3106,54.9301,0.8599,45.27,6.9,3.7824,546.39
2022,2022-06-19 14:00:00,2022-06-21 05:15:00,TP,206.1059,220.7394,190.0296,220.7394,60.6749,0.8935,46.03,6.9,4.1779,546.39
2022,2022-06-19 14:15:00,2022-06-21 05:30:00,TP,206.7065,221.3827,190.5834,221.3827,55.4279,0.9015,45.2,6.9,3.8167,550.21
2022,2022-06-20 02:45:00,2022-06-21 05:45:00,TP,208.4082,223.2052,192.1524,223.2052,50.9832,0.9461,28.24,6.9,3.5106,553.72
2022,2022-06-20 00:45:00,2022-06-21 07:00:00,TP,210.9107,225.8854,194.4597,225.8854,53.2816,0.9214,43.93,6.9,3.6689,557.38
2022,2022-06-21 18:00:00,2022-06-24 12:00:00,TP,223.5233,239.3935,206.0885,239.3935,57.4281,0.8613,24.79,6.9,3.9544,573.39
