year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2022,2022-01-11 10:45:00,2022-01-12 13:30:00,TP,447.3469,476.4244,418.2694,476.4244,50.9222,0.8596,55.65,6.3,3.2015,398.78
2022,2022-01-11 11:00:00,2022-01-12 13:30:00,TP,449.0486,478.2368,419.8604,478.2368,50.9925,0.8764,53.74,6.3,3.2059,452.98
2022,2022-01-11 11:45:00,2022-01-12 13:30:00,TP,448.8484,478.0235,419.6733,478.0235,53.4268,0.9059,49.69,6.3,3.3589,509.77
2022,2022-01-22 00:15:00,2022-01-22 06:15:00,SL,385.2849,360.2414,360.2414,410.3284,50.8137,0.8777,55.33,-6.7,-3.3979,450.28
2022,2022-01-22 00:00:00,2022-01-22 06:30:00,SL,383.7834,358.8375,358.8375,408.7293,65.9383,0.899,55.59,-6.7,-4.4093,389.93
2022,2022-01-22 05:45:00,2022-01-22 10:00:00,SL,366.5662,342.7394,342.7394,390.393,56.0903,0.9181,45.64,-6.7,-3.7508,385.98
2022,2022-01-22 06:15:00,2022-01-22 10:00:00,SL,360.7604,337.311,337.311,384.2098,55.9432,0.9221,49.03,-6.7,-3.7409,438.18
2022,2022-01-22 06:30:00,2022-01-22 10:00:00,SL,364.2639,340.5867,340.5867,387.9411,56.2834,0.9204,51.03,-6.7,-3.7637,490.7
2022,2022-01-22 10:00:00,2022-01-22 12:15:00,TP,343.7434,366.0867,321.4001,366.0867,53.2858,0.8693,61.97,6.3,3.3501,439.57
2022,2022-01-22 12:00:00,2022-01-23 09:00:00,TP,362.6623,386.2353,339.0893,386.2353,54.4841,0.8921,45.14,6.3,3.4254,442.73
2022,2022-01-22 12:15:00,2022-01-23 09:15:00,TP,363.5632,387.1948,339.9316,387.1948,54.7522,0.8921,42.75,6.3,3.4423,500.92
2022,2022-01-23 11:30:00,2022-01-24 09:15:00,SL,382.9826,358.0887,358.0887,407.8765,58.71,0.8816,53.86,-6.7,-3.9259,436.27
2022,2022-01-23 11:45:00,2022-01-24 09:15:00,SL,382.8825,357.9951,357.9951,407.7699,60.7295,0.9104,50.89,-6.7,-4.061,492.93
2022,2022-01-24 09:45:00,2022-01-24 20:45:00,TP,353.5532,376.5342,330.5722,376.5342,52.3235,0.8841,36.37,6.3,3.2896,496.22
2022,2022-01-24 09:30:00,2022-01-25 17:15:00,TP,353.8535,376.854,330.853,376.854,53.1182,0.8681,33.84,6.3,3.3395,448.33
2022,2022-01-24 23:30:00,2022-01-26 14:00:00,TP,372.2719,396.4696,348.0742,396.4696,51.229,0.8793,39.54,6.3,3.2208,502.78
2022,2022-01-26 18:00:00,2022-01-27 03:30:00,SL,385.2849,360.2414,360.2414,410.3284,58.1647,0.8794,28.17,-6.7,-3.8895,375.86
2022,2022-01-28 01:15:00,2022-02-03 10:00:00,SL,387.0867,361.9261,361.9261,412.2473,53.0078,0.9157,45.3,-6.7,-3.5446,441.57
2022,2022-01-26 18:15:00,2022-02-05 04:00:00,TP,383.1828,408.0897,358.2759,408.0897,64.9814,0.923,28.77,6.3,4.0854,387.6
2022,2022-01-26 18:30:00,2022-02-05 04:00:00,TP,383.383,408.3029,358.4631,408.3029,58.055,0.9327,29.32,6.3,3.6499,449.3
2022,2022-01-28 02:00:00,2022-02-05 04:00:00,TP,384.2839,409.2624,359.3054,409.2624,53.7819,0.9522,39.81,6.3,3.3813,506.47
2022,2022-05-13 06:00:00,2022-05-14 04:45:00,SL,306.4061,286.4897,286.4897,326.3225,55.8637,0.8894,53.42,-6.7,-3.7356,450.83
2022,2022-05-13 06:30:00,2022-05-14 10:15:00,SL,303.1028,283.4011,283.4011,322.8045,51.9035,0.8997,52.37,-6.7,-3.4708,499.26
2022,2022-05-13 04:45:00,2022-05-14 10:45:00,SL,301.8015,282.1844,282.1844,321.4186,50.9814,0.8579,49.84,-6.7,-3.4091,495.85
2022,2022-05-14 11:00:00,2022-05-14 23:30:00,TP,277.9777,296.0463,259.9091,296.0463,58.367,0.9033,31.72,6.3,3.6695,499.52
2022,2022-05-14 10:45:00,2022-05-15 11:30:00,TP,281.6814,299.9907,263.3721,299.9907,55.0438,0.8727,29.86,6.3,3.4606,502.98
2022,2022-05-16 01:00:00,2022-05-18 23:30:00,SL,307.2069,287.2385,287.2385,327.1753,52.4682,0.8813,31.2,-6.7,-3.5085,389.52
2022,2022-05-15 14:45:00,2022-05-22 03:00:00,TP,299.3991,318.86,279.9382,318.86,54.5479,0.8691,27.79,6.3,3.4294,392.95
2022,2022-05-16 01:30:00,2022-05-22 09:30:00,TP,303.1028,322.8045,283.4011,322.8045,50.9672,0.9303,29.49,6.3,3.2043,506.11
2022,2022-05-16 01:15:00,2022-05-23 06:30:00,TP,306.306,326.2159,286.3961,326.2159,58.9861,0.927,29.61,6.3,3.7085,509.82
2022,2022-06-18 18:00:00,2022-06-19 10:15:00,TP,194.9948,207.6695,182.3201,207.6695,55.6803,0.8702,40.1,6.3,3.5006,457.37
2022,2022-06-18 18:15:00,2022-06-19 10:15:00,TP,192.5924,205.1109,180.0739,205.1109,55.9431,0.8902,41.66,6.3,3.5171,516.83
2022,2022-06-19 12:30:00,2022-06-20 15:00:00,TP,205.7055,219.0764,192.3346,219.0764,52.7269,0.8599,45.27,6.3,3.315,357.56
2022,2022-06-19 14:00:00,2022-06-20 15:00:00,TP,206.1059,219.5028,192.709,219.5028,58.2413,0.8935,46.03,6.3,3.6616,419.46
2022,2022-06-19 14:15:00,2022-06-21 05:15:00,TP,206.7065,220.1424,193.2706,220.1424,53.2048,0.9015,45.2,6.3,3.345,476.01
2022,2022-06-20 00:45:00,2022-06-21 06:00:00,TP,210.9107,224.6199,197.2015,224.6199,51.1446,0.9214,43.93,6.3,3.2155,530.37
2022,2022-06-21 18:00:00,2022-06-24 11:30:00,TP,223.5233,238.0523,208.9943,238.0523,54.6447,0.8613,24.79,6.3,3.4355,367.27
2022,2022-06-23 15:45:00,2022-06-24 11:30:00,TP,223.1229,237.6259,208.6199,237.6259,55.3493,0.9311,36.88,6.3,3.4798,537.29
