year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2021,2021-01-02 14:45:00,2021-01-03 05:30:00,TP,31321.8205,34178.3706,28283.6039,34178.3706,50.1576,0.8903,44.12,8.92,4.4649,504.46
2021,2021-01-12 14:15:00,2021-01-13 19:30:00,TP,32973.6607,35980.8586,29775.2156,35980.8586,54.3585,0.8985,25.05,8.92,4.8389,509.3
2021,2021-01-12 14:30:00,2021-01-13 20:00:00,TP,33268.3451,36302.4182,30041.3156,36302.4182,52.0553,0.9072,27.53,8.92,4.6338,513.94
2021,2021-04-10 08:00:00,2021-04-18 03:30:00,SL,60820.77,54921.1553,54921.1553,66367.6242,68.7854,0.9272,48.51,-9.9,-6.7964,495.85
2021,2021-04-10 08:15:00,2021-04-18 03:30:00,SL,60777.4267,54882.0163,54882.0163,66320.328,61.532,0.932,47.96,-9.9,-6.0797,495.85
2021,2021-04-10 08:30:00,2021-04-18 03:30:00,SL,60729.2686,54838.5295,54838.5295,66267.7779,52.7681,0.9313,46.03,-9.9,-5.2138,495.85
2021,2021-05-03 08:45:00,2021-05-04 23:45:00,SL,58822.8341,53117.0192,53117.0192,64187.4765,53.9103,0.8996,41.07,-9.9,-5.3267,490.52
2021,2021-08-04 15:30:00,2021-08-06 16:00:00,TP,39322.5032,42908.7155,35508.2204,42908.7155,53.8266,0.9007,41.49,8.92,4.7915,495.31
2021,2021-08-04 20:00:00,2021-08-07 03:45:00,TP,39766.1264,43392.7971,35908.8121,43392.7971,50.6618,0.9076,45.8,8.92,4.5098,504.31
2021,2021-08-04 20:15:00,2021-08-07 03:45:00,TP,39776.8771,43404.5283,35918.5201,43404.5283,50.4459,0.9237,45.32,8.92,4.4906,504.31
2021,2021-08-13 12:00:00,2021-09-03 12:30:00,TP,46289.253,50510.8329,41799.1955,50510.8329,53.7564,0.8973,48.69,8.92,4.7853,513.98
2021,2021-08-13 12:15:00,2021-09-03 12:30:00,TP,46441.0146,50676.4352,41936.2362,50676.4352,54.8016,0.9138,47.92,8.92,4.8783,513.98
2021,2021-10-06 21:30:00,2021-10-15 13:45:00,TP,55281.266,60322.9175,49918.9832,60322.9175,52.6624,0.8927,43.5,8.92,4.6879,518.66
2022,2022-02-15 03:15:00,2022-02-20 05:45:00,SL,43678.645,39441.8164,39441.8164,47662.1374,52.5962,0.8915,41.34,-9.9,-5.1968,513.46
2022,2022-03-07 03:15:00,2022-03-09 03:45:00,TP,37893.4656,41349.3497,34217.7994,41349.3497,71.5373,0.9333,39.98,8.92,6.3681,530.83
2022,2022-03-07 03:30:00,2022-03-09 03:45:00,TP,37922.0041,41380.4909,34243.5697,41380.4909,66.7263,0.9461,40.8,8.92,5.9398,530.83
2022,2022-03-07 03:45:00,2022-03-09 03:45:00,TP,37907.3194,41364.467,34230.3095,41364.467,56.8004,0.9465,41.37,8.92,5.0562,530.83
2022,2022-06-12 04:30:00,2022-06-13 07:30:00,SL,27539.482,24868.1522,24868.1522,30051.0827,53.4551,0.8908,44.32,-9.9,-5.2817,525.55
2022,2022-07-04 16:00:00,2022-07-07 19:30:00,TP,19833.854,21642.7015,17909.9702,21642.7015,61.3044,0.9083,48.99,8.92,5.4572,535.99
2022,2022-07-04 18:00:00,2022-07-07 19:30:00,TP,19911.1412,21727.0373,17979.7605,21727.0373,56.0357,0.9128,50.61,8.92,4.9882,535.99
2022,2022-07-08 04:30:00,2022-07-11 23:00:00,SL,22069.1171,19928.4127,19928.4127,24081.8205,55.1011,0.8931,55.37,-9.9,-5.4443,530.55
