year,entry_time,exit_time,exit_type,entry_price,exit_price,sl_price,tp_price,size,prob,adx,pnl_pct,pnl_eur,equity_after
2022,2022-01-11 10:45:00,2022-01-12 13:30:00,TP,447.3469,479.1085,412.4538,479.1085,254.6111,0.8596,55.65,6.9,17.532,517.53
2022,2022-01-22 00:00:00,2022-01-22 06:30:00,SL,383.7834,353.8483,353.8483,411.032,334.7138,0.899,55.59,-8.0,-26.7249,490.81
2022,2022-01-22 06:30:00,2022-01-26 13:15:00,TP,364.2639,390.1266,335.8513,390.1266,354.225,0.9204,51.03,6.9,24.3912,515.2
2022,2022-01-26 18:00:00,2022-02-05 04:15:00,TP,385.2849,412.6401,355.2327,412.6401,298.0036,0.8794,28.17,6.9,20.5199,535.72
2022,2022-05-13 04:45:00,2022-05-14 11:00:00,SL,301.8015,278.261,278.261,323.2294,269.6294,0.8579,49.84,-8.0,-21.5283,514.19
2022,2022-05-14 11:00:00,2022-05-14 23:45:00,TP,277.9777,297.7141,256.2954,297.7141,340.4174,0.9033,31.72,6.9,23.4404,537.63
2022,2022-05-15 14:45:00,2022-05-22 09:30:00,TP,299.3991,320.6564,276.046,320.6564,291.5279,0.8691,27.79,6.9,20.074,557.7
2022,2022-06-18 18:00:00,2022-06-19 10:15:00,TP,194.9948,208.8394,179.7852,208.8394,304.553,0.8702,40.1,6.9,20.9709,578.68
2022,2022-06-19 12:30:00,2022-06-21 05:15:00,TP,205.7055,220.3106,189.6605,220.3106,295.1801,0.8599,45.27,6.9,20.3255,599.0
2022,2022-06-21 18:00:00,2022-06-24 12:00:00,TP,223.5233,239.3935,206.0885,239.3935,308.5794,0.8613,24.79,6.9,21.2482,620.25
2022,2022-06-30 07:15:00,2022-07-01 02:00:00,TP,211.5113,226.5286,195.0134,226.5286,318.0683,0.8607,29.36,6.9,21.9015,642.15
2022,2022-07-01 03:45:00,2022-07-06 09:15:00,TP,221.3211,237.0349,204.0581,237.0349,444.9762,0.9122,41.78,6.9,30.6402,672.79
2022,2022-11-07 08:00:00,2022-11-08 16:00:00,TP,330.0297,353.4618,304.2874,353.4618,361.238,0.8676,31.24,6.9,24.8741,697.66
2022,2022-11-08 18:15:00,2022-11-08 19:15:00,SL,336.9366,310.6555,310.6555,360.8591,403.2066,0.8793,34.05,-8.0,-32.1937,665.47
2022,2022-11-08 19:15:00,2022-11-08 23:15:00,TP,302.7024,324.1943,279.0916,324.1943,387.6912,0.8806,30.35,6.9,26.6957,692.17
2022,2022-11-09 09:30:00,2022-11-09 18:30:00,SL,297.1969,274.0155,274.0155,318.2979,386.0546,0.8735,24.03,-8.0,-30.8242,661.34
2022,2022-11-09 18:30:00,2022-11-10 13:30:00,TP,276.276,295.8916,254.7265,295.8916,567.3858,0.9594,37.79,6.9,39.0691,700.41
